Reference_Video,Positive_Video,Reference_Length,Positive_Length,Start_Copy
c01_202101301255.mp4,c01_20210131125108.mp4,110,5774,1982
c01_202101301255.mp4,c01_20210131194822.mp4,110,20250,15451
c01_202101301255.mp4,c01_20210131205546.mp4,110,8630,7683
c01_202101301255.mp4,c01_20210201082747.mp4,110,15398,2832
c01_202101301255.mp4,c01_20210201091852.mp4,110,16985,2697
c01_202101301255.mp4,c01_20210201134138.mp4,110,11867,2247
c01_202101301255.mp4,c01_20210201203833.mp4,110,20858,1250
c01_202101301255.mp4,c01_20210202091555.mp4,110,15642,7979
c01_202101301255.mp4,c01_20210202195259.mp4,110,12969,7754
c01_202101301255.mp4,c01_20210202205950.mp4,110,15276,259
c01_202101301255.mp4,c01_20210203082724.mp4,110,12941,759
c01_202101301255.mp4,c01_20210203091703.mp4,110,10724,5425
c01_202101301255.mp4,c01_20210203195609.mp4,110,10845,1544
c01_202101301255.mp4,c01_20210204090848.mp4,110,26693,10372
c01_202101301255.mp4,c01_20210204195455.mp4,110,9708,3440
c01_202101301255.mp4,c01_20210204205739.mp4,110,10874,6649
c01_202101301255.mp4,c01_20210205091536.mp4,110,6531,2026
c01_202101301255.mp4,c01_20210205135939.mp4,110,16331,7990
c01_202101301255.mp4,c01_20210205195645.mp4,110,8566,1080
c01_202101301255.mp4,c01_20210206195354.mp4,110,13447,5212
c01_202101301255.mp4,c01_20210206205903.mp4,110,14588,6966
c01_202101301255.mp4,c01_20210207124920.mp4,110,7995,5802
c01_202101301255.mp4,c01_20210207195238.mp4,110,10602,8010
c01_202101301255.mp4,c01_20210208081743.mp4,110,18543,9094
c01_202101301255.mp4,c01_20210209091231.mp4,110,13720,8480
c01_202101301255.mp4,c01_20210209195417.mp4,110,11118,5120
c01_202101301255.mp4,c01_20210209205741.mp4,110,8956,801
c01_202101301255.mp4,c01_20210210081914.mp4,110,25024,8450
c01_202101301255.mp4,c01_20210210091135.mp4,110,11234,4493
c01_202101301255.mp4,c01_20210211081838.mp4,110,18841,2272
c01_202101301255.mp4,c01_20210211091232.mp4,110,9704,1568
c01_202101301255.mp4,c01_20210211195045.mp4,110,16599,11314
c01_202101301255.mp4,c01_20210211205503.mp4,110,12697,4633
c01_202101301255.mp4,c01_20210212091432.mp4,110,16323,470
c01_202101301255.mp4,c01_20210212135956.mp4,110,10576,7360
c01_202101301255.mp4,c01_20210212205806.mp4,110,12162,5847
c01_202101301255.mp4,c01_20210213124433.mp4,110,21391,13846
c01_202101301255.mp4,c01_20210213195511.mp4,110,5542,3346
c01_202101301255.mp4,c01_20210213210242.mp4,110,10875,2083
c01_202101301255.mp4,c01_20210214195143.mp4,110,25648,9685
c01_202101301255.mp4,c01_20210214205737.mp4,110,25110,10084
c01_202101301255.mp4,c01_20210215082051.mp4,110,11115,457
c01_202101301255.mp4,c01_20210215195530.mp4,110,13693,2968
c01_202101301255.mp4,c01_20210215205649.mp4,110,8568,151
c01_202101301255.mp4,c01_20210216091810.mp4,110,17196,26
c01_202101301255.mp4,c01_20210217082447.mp4,110,17322,1565
c01_202101301255.mp4,c01_20210217091621.mp4,110,18518,3962
c01_202101301255.mp4,c01_20210217195216.mp4,110,21062,8647
c01_202101301255.mp4,c01_20210217205638.mp4,110,3624,3218
c01_202101301255.mp4,c01_20210218082402.mp4,110,23907,1948
c01_202101301255.mp4,c01_20210218091514.mp4,110,14354,2892
c01_202101301255.mp4,c01_20210218195321.mp4,110,9491,6487
c01_202101301255.mp4,c01_20210218205600.mp4,110,11986,2020
c01_202101301255.mp4,c01_20210219082030.mp4,110,15461,3160
c01_202101301255.mp4,c01_20210219090956.mp4,110,7281,6170
c01_202101301255.mp4,c01_20210219195209.mp4,110,24419,8874
c01_202101301255.mp4,c01_20210219205816.mp4,110,11593,3680
c01_202101301255.mp4,c01_20210220124543.mp4,110,17642,11026
c01_202101301255.mp4,c01_20210220194939.mp4,110,25472,13217
c01_202101301255.mp4,c01_20210220210038.mp4,110,14945,5331
c01_202101301255.mp4,c01_20210221124535.mp4,110,16683,10990
c01_202101301255.mp4,c01_20210221195647.mp4,110,1973,510
c01_202101301255.mp4,c01_20210221210021.mp4,110,9071,5326
c01_202101301255.mp4,c01_20210222082445.mp4,110,16183,1820
c01_202101301255.mp4,c01_20210222091503.mp4,110,14444,6161
c01_202101301255.mp4,c01_20210222194918.mp4,110,23225,13672
c01_202101301255.mp4,c01_20210222205734.mp4,110,18637,2731
c01_202101301255.mp4,c01_20210223091448.mp4,110,10489,3306
c01_202101301255.mp4,c01_20210223195257.mp4,110,16086,7234
c01_202101301255.mp4,c01_20210223205931.mp4,110,13688,596
c01_202101301255.mp4,c01_20210224091631.mp4,110,5451,2405
c01_202101301255.mp4,c01_20210224195115.mp4,110,12642,10778
c01_202101301255.mp4,c01_20210224205637.mp4,110,15102,1599
c01_202101301255.mp4,c01_20210225082210.mp4,110,23370,7959
c01_202101301255.mp4,c01_20210225091359.mp4,110,11559,4136
c01_202101301255.mp4,c01_20210225135610.mp4,110,10902,7417
c01_202101301255.mp4,c01_20210226082213.mp4,110,10993,1673
c01_202101301255.mp4,c01_20210226091251.mp4,110,10872,4985
c01_202101301255.mp4,c01_20210226195353.mp4,110,19141,5533
c01_202101301255.mp4,c01_20210227124311.mp4,110,21933,16099
c01_202101301255.mp4,c01_20210227195534.mp4,110,16900,2707
c01_202101301255.mp4,c01_20210227205737.mp4,110,15160,7984
c01_202101301255.mp4,c01_20210228125031.mp4,110,19921,1262
c01_202101301255.mp4,c01_20210228195156.mp4,110,20403,9047
c01_202101301255.mp4,c01_20210228210000.mp4,110,14287,2948
c01_202101301300.mp4,c01_20210131125922.mp4,146,5840,55
c01_202101301300.mp4,c01_20210131194822.mp4,146,20250,18724
c01_202101301300.mp4,c01_20210202125721.mp4,146,11837,1893
c01_202101301300.mp4,c01_20210202195259.mp4,146,12969,11116
c01_202101301300.mp4,c01_20210203125517.mp4,146,17525,5449
c01_202101301300.mp4,c01_20210203195609.mp4,146,10845,4658
c01_202101301300.mp4,c01_20210204125751.mp4,146,9888,1272
c01_202101301300.mp4,c01_20210204195455.mp4,146,9708,6653
c01_202101301300.mp4,c01_20210205124340.mp4,146,31402,26485
c01_202101301300.mp4,c01_20210205195645.mp4,146,8566,4356
c01_202101301300.mp4,c01_20210206125201.mp4,146,27541,13577
c01_202101301300.mp4,c01_20210206195354.mp4,146,13447,9070
c01_202101301300.mp4,c01_20210207125834.mp4,146,19897,1839
c01_202101301300.mp4,c01_20210209195417.mp4,146,11118,8424
c01_202101301300.mp4,c01_20210211195045.mp4,146,16599,14764
c01_202101301300.mp4,c01_20210213125645.mp4,146,13207,4869
c01_202101301300.mp4,c01_20210214125453.mp4,146,22711,8324
c01_202101301300.mp4,c01_20210214195143.mp4,146,25648,12705
c01_202101301300.mp4,c01_20210215125520.mp4,146,8834,5390
c01_202101301300.mp4,c01_20210215195530.mp4,146,13693,6181
c01_202101301300.mp4,c01_20210217195216.mp4,146,21062,11801
c01_202101301300.mp4,c01_20210218125441.mp4,146,18635,6663
c01_202101301300.mp4,c01_20210219125335.mp4,146,16419,8616
c01_202101301300.mp4,c01_20210219195209.mp4,146,24419,12057
c01_202101301300.mp4,c01_20210220194939.mp4,146,25472,16530
c01_202101301300.mp4,c01_20210221125657.mp4,146,6943,4345
c01_202101301300.mp4,c01_20210222125531.mp4,146,14438,5052
c01_202101301300.mp4,c01_20210222194918.mp4,146,23225,16996
c01_202101301300.mp4,c01_20210223125143.mp4,146,17951,11830
c01_202101301300.mp4,c01_20210223195257.mp4,146,16086,10375
c01_202101301300.mp4,c01_20210224125645.mp4,146,17852,2812
c01_202101301300.mp4,c01_20210225125257.mp4,146,19897,9579
c01_202101301300.mp4,c01_20210225195808.mp4,146,12909,75
c01_202101301300.mp4,c01_20210226125650.mp4,146,21179,2667
c01_202101301300.mp4,c01_20210226195353.mp4,146,19141,8950
c01_202101301300.mp4,c01_20210227195534.mp4,146,16900,6021
c01_202101301300.mp4,c01_20210228125031.mp4,146,19921,16099
c01_202101301300.mp4,c01_20210228195156.mp4,146,20403,12340
c01_202101301340.mp4,c01_20210130133957.mp4,292,13209,3240
c01_202101301340.mp4,c01_20210131145019.mp4,292,19986,8446
c01_202101301340.mp4,c01_20210206133301.mp4,292,24540,11715
c01_202101301340.mp4,c01_20210207144542.mp4,292,6348,3455
c01_202101301340.mp4,c01_20210213132954.mp4,292,17583,9348
c01_202101301340.mp4,c01_20210214144734.mp4,292,23637,9838
c01_202101301340.mp4,c01_20210220133337.mp4,292,21123,8797
c01_202101301340.mp4,c01_20210221144740.mp4,292,16324,9135
c01_202101301340.mp4,c01_20210227133156.mp4,292,15192,6291
c01_202101301340.mp4,c01_20210228144730.mp4,292,20790,9684
c01_202101301450.mp4,c01_20210130145505.mp4,291,15492,4570
c01_202101301450.mp4,c01_20210131133404.mp4,291,7665,6525
c01_202101301450.mp4,c01_20210206145052.mp4,291,8566,5921
c01_202101301450.mp4,c01_20210207132919.mp4,291,17644,13353
c01_202101301450.mp4,c01_20210213144405.mp4,291,14143,10652
c01_202101301450.mp4,c01_20210214133142.mp4,291,23404,13117
c01_202101301450.mp4,c01_20210220144506.mp4,291,7218,5037
c01_202101301450.mp4,c01_20210221133248.mp4,291,23102,9604
c01_202101301450.mp4,c01_20210227144300.mp4,291,17142,8906
c01_202101301450.mp4,c01_20210228133351.mp4,291,11472,6543
c01_202101301750.mp4,c01_20210130175049.mp4,145,21300,8750
c01_202101301750.mp4,c01_20210130190029.mp4,145,16390,8797
c01_202101301750.mp4,c01_20210206175053.mp4,145,17853,6760
c01_202101301750.mp4,c01_20210213175204.mp4,145,18431,6107
c01_202101301750.mp4,c01_20210213184949.mp4,145,13692,6431
c01_202101301750.mp4,c01_20210220175205.mp4,145,16812,8951
c01_202101301750.mp4,c01_20210220185522.mp4,145,4371,2306
c01_202101301750.mp4,c01_20210227175224.mp4,145,17951,12839
c01_202101301750.mp4,c01_20210227190645.mp4,145,10844,437
c01_202101302040.mp4,c01_20210130203943.mp4,173,11416,2110
c01_202101302040.mp4,c01_20210131204538.mp4,173,11595,2799
c01_202101302040.mp4,c01_20210207124920.mp4,173,7995,263
c01_202101302040.mp4,c01_20210213203955.mp4,173,7430,1656
c01_202101302040.mp4,c01_20210214204730.mp4,173,14229,2314
c01_202101302040.mp4,c01_20210220204100.mp4,173,16209,985
c01_202101302040.mp4,c01_20210221124535.mp4,173,16683,14937
c01_202101302040.mp4,c01_20210221204716.mp4,173,10993,6357
c01_202101302040.mp4,c01_20210227203804.mp4,173,11799,7283
c01_202101302040.mp4,c01_20210228125031.mp4,173,19921,5674
c01_202101302040.mp4,c01_20210228204314.mp4,173,21300,9752
c01_202101302045.mp4,c01_20210130204907.mp4,117,8832,780
c01_202101302045.mp4,c01_20210203204855.mp4,117,11829,1781
c01_202101302045.mp4,c01_20210206204529.mp4,117,13334,7375
c01_202101302045.mp4,c01_20210213204454.mp4,117,12016,6014
c01_202101302045.mp4,c01_20210220204100.mp4,117,16209,15228
c01_202101302045.mp4,c01_20210222204409.mp4,117,21089,9802
c01_202101302045.mp4,c01_20210224204640.mp4,117,14081,3968
c01_202101311105.mp4,c01_20210131105444.mp4,237,17402,6380
c01_202101311105.mp4,c01_20210207110041.mp4,237,8990,1803
c01_202101311105.mp4,c01_20210214110133.mp4,237,9708,1670
c01_202101311105.mp4,c01_20210221105957.mp4,237,6014,4553
c01_202101311105.mp4,c01_20210228105639.mp4,237,13303,8210
c01_202101311605.mp4,c01_20210130161235.mp4,89,24663,14692
c01_202101311605.mp4,c01_20210131160822.mp4,89,11054,6930
c01_202101311605.mp4,c01_20210206161650.mp4,89,18692,5312
c01_202101311605.mp4,c01_20210207160045.mp4,89,18730,5065
c01_202101311605.mp4,c01_20210213160845.mp4,89,24540,10351
c01_202101311605.mp4,c01_20210214161041.mp4,89,12339,1432
c01_202101311605.mp4,c01_20210220160828.mp4,89,10934,1652
c01_202101311605.mp4,c01_20210221160339.mp4,89,14260,7421
c01_202101311605.mp4,c01_20210227160818.mp4,89,15820,6583
c01_202101311605.mp4,c01_20210228160238.mp4,89,13123,11259
c01_202101311715.mp4,c01_20210131171310.mp4,236,19629,12180
c01_202101311820.mp4,c01_20210131181611.mp4,292,18517,9390
c01_202101312040.mp4,c01_20210131203802.mp4,113,11739,5790
c01_202101312040.mp4,c01_20210207203449.mp4,113,15940,10109
c01_202101312040.mp4,c01_20210221203909.mp4,113,11597,3355
c01_202102010925.mp4,c01_20210201091852.mp4,235,16985,11330
c01_202102010925.mp4,c01_20210204090848.mp4,235,26693,19208
c01_202102010925.mp4,c01_20210208091938.mp4,235,17733,2686
c01_202102010925.mp4,c01_20210209092140.mp4,235,21395,2239
c01_202102010925.mp4,c01_20210212091432.mp4,235,16323,7971
c01_202102010925.mp4,c01_20210215091702.mp4,235,6319,2782
c01_202102010925.mp4,c01_20210216091810.mp4,235,17196,6579
c01_202102010925.mp4,c01_20210217091621.mp4,235,18518,11595
c01_202102010925.mp4,c01_20210218091514.mp4,235,14354,10640
c01_202102010925.mp4,c01_20210219091443.mp4,235,12197,6244
c01_202102010925.mp4,c01_20210222091503.mp4,235,14444,12386
c01_202102010925.mp4,c01_20210224092243.mp4,235,8506,189
c01_202102010955.mp4,c01_20210201095119.mp4,117,12071,4590
c01_202102010955.mp4,c01_20210202095331.mp4,117,11678,4028
c01_202102010955.mp4,c01_20210202183447.mp4,117,11591,5247
c01_202102010955.mp4,c01_20210203095211.mp4,117,3319,2714
c01_202102010955.mp4,c01_20210203183601.mp4,117,15724,2402
c01_202102010955.mp4,c01_20210204094830.mp4,117,4374,2238
c01_202102010955.mp4,c01_20210205180927.mp4,117,13784,62
c01_202102010955.mp4,c01_20210205183545.mp4,117,6884,1054
c01_202102010955.mp4,c01_20210208094801.mp4,117,15464,5676
c01_202102010955.mp4,c01_20210208183549.mp4,117,10989,604
c01_202102010955.mp4,c01_20210209094541.mp4,117,21602,13835
c01_202102010955.mp4,c01_20210209182717.mp4,117,17828,16028
c01_202102010955.mp4,c01_20210210094824.mp4,117,11567,3097
c01_202102010955.mp4,c01_20210210183305.mp4,117,10485,4852
c01_202102010955.mp4,c01_20210211094629.mp4,117,19832,3116
c01_202102010955.mp4,c01_20210211183237.mp4,117,13872,5437
c01_202102010955.mp4,c01_20210212094443.mp4,117,15220,8268
c01_202102010955.mp4,c01_20210212183202.mp4,117,13693,6133
c01_202102010955.mp4,c01_20210215094610.mp4,117,5537,3931
c01_202102010955.mp4,c01_20210215183642.mp4,117,6502,844
c01_202102010955.mp4,c01_20210216094927.mp4,117,16091,5225
c01_202102010955.mp4,c01_20210216183413.mp4,117,15668,6128
c01_202102010955.mp4,c01_20210217094814.mp4,117,9170,4693
c01_202102010955.mp4,c01_20210217183146.mp4,117,18759,10954
c01_202102010955.mp4,c01_20210218094611.mp4,117,15727,9651
c01_202102010955.mp4,c01_20210218183603.mp4,117,16294,6292
c01_202102010955.mp4,c01_20210219094400.mp4,117,22384,7603
c01_202102010955.mp4,c01_20210219183241.mp4,117,23672,9391
c01_202102010955.mp4,c01_20210222095019.mp4,117,9796,1343
c01_202102010955.mp4,c01_20210222183759.mp4,117,7669,4910
c01_202102010955.mp4,c01_20210223094619.mp4,117,16266,9374
c01_202102010955.mp4,c01_20210223184001.mp4,117,8744,1794
c01_202102010955.mp4,c01_20210224095017.mp4,117,9646,5180
c01_202102010955.mp4,c01_20210224183614.mp4,117,14465,3623
c01_202102010955.mp4,c01_20210225094427.mp4,117,15131,10136
c01_202102010955.mp4,c01_20210226183756.mp4,117,13123,1682
c01_202102011025.mp4,c01_20210201102046.mp4,175,13897,7070
c01_202102011025.mp4,c01_20210202102336.mp4,175,17708,5624
c01_202102011025.mp4,c01_20210202190949.mp4,175,14025,1365
c01_202102011025.mp4,c01_20210203102348.mp4,175,3532,2032
c01_202102011025.mp4,c01_20210203190824.mp4,175,8503,3987
c01_202102011025.mp4,c01_20210204101915.mp4,175,15877,7528
c01_202102011025.mp4,c01_20210204190734.mp4,175,4159,1182
c01_202102011025.mp4,c01_20210205102104.mp4,175,7542,5122
c01_202102011025.mp4,c01_20210205190557.mp4,175,19237,7444
c01_202102011025.mp4,c01_20210208102146.mp4,175,13066,4882
c01_202102011025.mp4,c01_20210208190728.mp4,175,14529,3777
c01_202102011025.mp4,c01_20210209101929.mp4,175,12460,10501
c01_202102011025.mp4,c01_20210209190504.mp4,175,17980,9497
c01_202102011025.mp4,c01_20210210101650.mp4,175,20917,11146
c01_202102011025.mp4,c01_20210210190455.mp4,175,13005,6597
c01_202102011025.mp4,c01_20210211101526.mp4,175,17013,8818
c01_202102011025.mp4,c01_20210211190559.mp4,175,10096,3369
c01_202102011025.mp4,c01_20210212101946.mp4,175,12430,1873
c01_202102011025.mp4,c01_20210212190334.mp4,175,15875,6237
c01_202102011025.mp4,c01_20210215101643.mp4,175,14264,5914
c01_202102011025.mp4,c01_20210215190704.mp4,175,18995,4607
c01_202102011025.mp4,c01_20210216102416.mp4,175,6048,940
c01_202102011025.mp4,c01_20210216190845.mp4,175,11230,3068
c01_202102011025.mp4,c01_20210217101702.mp4,175,24603,12296
c01_202102011025.mp4,c01_20210217190514.mp4,175,20107,9992
c01_202102011025.mp4,c01_20210218102151.mp4,175,9499,4877
c01_202102011025.mp4,c01_20210218191047.mp4,175,13604,2426
c01_202102011025.mp4,c01_20210219101559.mp4,175,19390,10555
c01_202102011025.mp4,c01_20210219190528.mp4,175,24183,11317
c01_202102011025.mp4,c01_20210222102212.mp4,175,8959,2914
c01_202102011025.mp4,c01_20210222191138.mp4,175,8388,2544
c01_202102011025.mp4,c01_20210223102037.mp4,175,12488,5770
c01_202102011025.mp4,c01_20210223191145.mp4,175,14921,3068
c01_202102011025.mp4,c01_20210224101948.mp4,175,16236,10394
c01_202102011025.mp4,c01_20210224190420.mp4,175,25024,12299
c01_202102011025.mp4,c01_20210225102029.mp4,175,11410,6263
c01_202102011025.mp4,c01_20210225191338.mp4,175,25916,13615
c01_202102011025.mp4,c01_20210226101908.mp4,175,16477,6134
c01_202102011025.mp4,c01_20210226190428.mp4,175,24185,12900
c01_202102011100.mp4,c01_20210201110246.mp4,86,7967,4290
c01_202102011100.mp4,c01_20210202110338.mp4,86,15758,4274
c01_202102011100.mp4,c01_20210203105702.mp4,86,17738,10822
c01_202102011100.mp4,c01_20210204110203.mp4,86,14472,1547
c01_202102011100.mp4,c01_20210205110033.mp4,86,16572,3146
c01_202102011100.mp4,c01_20210208105609.mp4,86,16750,7994
c01_202102011100.mp4,c01_20210209105844.mp4,86,14378,8709
c01_202102011100.mp4,c01_20210210105606.mp4,86,13064,10863
c01_202102011100.mp4,c01_20210211105459.mp4,86,10758,6749
c01_202102011100.mp4,c01_20210212105642.mp4,86,16719,7417
c01_202102011100.mp4,c01_20210215105920.mp4,86,10601,2586
c01_202102011100.mp4,c01_20210216105940.mp4,86,10480,6728
c01_202102011100.mp4,c01_20210217105957.mp4,86,8532,2765
c01_202102011100.mp4,c01_20210218105823.mp4,86,18904,5905
c01_202102011100.mp4,c01_20210219105645.mp4,86,14381,7732
c01_202102011100.mp4,c01_20210222105808.mp4,86,17166,9959
c01_202102011100.mp4,c01_20210223110041.mp4,86,12406,3390
c01_202102011100.mp4,c01_20210224110109.mp4,86,13814,6218
c01_202102011100.mp4,c01_20210225110049.mp4,86,9379,4411
c01_202102011100.mp4,c01_20210226105715.mp4,86,13452,2557
c01_202102021725.mp4,c01_20210201172013.mp4,74,4910,3777
c01_202102021725.mp4,c01_20210202173149.mp4,74,23732,3960
c01_202102021725.mp4,c01_20210203172844.mp4,74,2958,2402
c01_202102021725.mp4,c01_20210205172134.mp4,74,8056,1722
c01_202102021725.mp4,c01_20210208171955.mp4,74,19028,11492
c01_202102021725.mp4,c01_20210209172721.mp4,74,10303,3108
c01_202102021725.mp4,c01_20210210172440.mp4,74,17651,11643
c01_202102021725.mp4,c01_20210211172531.mp4,74,12824,3147
c01_202102021725.mp4,c01_20210212171903.mp4,74,22476,15015
c01_202102021725.mp4,c01_20210216172443.mp4,74,16811,10213
c01_202102021725.mp4,c01_20210219172428.mp4,74,16093,12742
c01_202102021725.mp4,c01_20210222173007.mp4,74,5153,5058
c01_202102021725.mp4,c01_20210223172721.mp4,74,17286,9166
c01_202102021725.mp4,c01_20210224173246.mp4,74,8895,3505
c01_202102021725.mp4,c01_20210226172813.mp4,74,10661,7749
c01_202102022040.mp4,c01_20210202204234.mp4,84,11831,6600
c01_202102022040.mp4,c01_20210205204046.mp4,84,9137,5851
c01_202102022040.mp4,c01_20210209203838.mp4,84,14165,7369
c01_202102022040.mp4,c01_20210216203906.mp4,84,13485,7960
c01_202102022040.mp4,c01_20210223204247.mp4,84,15906,5
c01_202102022055.mp4,c01_20210201203833.mp4,359,20858,5979
c01_202102022055.mp4,c01_20210202205950.mp4,359,15276,7160
c01_202102022055.mp4,c01_20210203210106.mp4,359,17352,1368
c01_202102022055.mp4,c01_20210204205739.mp4,359,10874,2691
c01_202102022055.mp4,c01_20210205210235.mp4,359,7069,1815
c01_202102022055.mp4,c01_20210208205949.mp4,359,5836,2566
c01_202102022055.mp4,c01_20210209205741.mp4,359,8956,8171
c01_202102022055.mp4,c01_20210210205917.mp4,359,9223,2596
c01_202102022055.mp4,c01_20210211205503.mp4,359,12697,11680
c01_202102022055.mp4,c01_20210212205806.mp4,359,12162,10392
c01_202102022055.mp4,c01_20210215205649.mp4,359,8568,6592
c01_202102022055.mp4,c01_20210216205946.mp4,359,14437,5000
c01_202102022055.mp4,c01_20210217210034.mp4,359,8292,2423
c01_202102022055.mp4,c01_20210218205600.mp4,359,11986,8366
c01_202102022055.mp4,c01_20210219205816.mp4,359,11593,8651
c01_202102022055.mp4,c01_20210222205734.mp4,359,18637,7538
c01_202102022055.mp4,c01_20210223205931.mp4,359,13688,5375
c01_202102022055.mp4,c01_20210224205637.mp4,359,15102,8198
c01_202102022055.mp4,c01_20210225210057.mp4,359,4255,156
c01_202102022055.mp4,c01_20210226210135.mp4,359,22596,3932
c01_202102022155.mp4,c01_20210202215929.mp4,149,18426,8300
c01_202102022155.mp4,c01_20210202225413.mp4,149,15400,4878
c01_202102022155.mp4,c01_20210209224950.mp4,149,16927,9224
c01_202102022155.mp4,c01_20210216220036.mp4,149,19113,9678
c01_202102022155.mp4,c01_20210223224451.mp4,149,23849,8534
c01_202102022155.mp4,c01_20210224002401.mp4,149,16777,10083
c01_202102022155.mp4,c01_20210224011639.mp4,149,7332,4742
c01_202102032105.mp4,c01_20210203211606.mp4,115,19143,360
c01_202102032105.mp4,c01_20210203221317.mp4,115,9560,3865
c01_202102032105.mp4,c01_20210217210912.mp4,115,24780,12517
c01_202102032105.mp4,c01_20210224211306.mp4,115,8209,3815
c01_202102032105.mp4,c01_20210224220619.mp4,115,14887,10426
c01_202102032315.mp4,c01_20210203231522.mp4,177,17590,7260
c01_202102032315.mp4,c01_20210204005431.mp4,177,10729,3769
c01_202102032315.mp4,c01_20210209005337.mp4,177,17074,8019
c01_202102032315.mp4,c01_20210211005425.mp4,177,11138,3819
c01_202102032315.mp4,c01_20210211013824.mp4,177,21809,12818
c01_202102032315.mp4,c01_20210215230946.mp4,177,21786,10575
c01_202102032315.mp4,c01_20210215235531.mp4,177,18757,10462
c01_202102032315.mp4,c01_20210216004030.mp4,177,14680,11164
c01_202102032315.mp4,c01_20210223005420.mp4,177,5115,91
c01_202102042105.mp4,c01_20210204210929.mp4,115,24839,11870
c01_202102042105.mp4,c01_20210204220357.mp4,115,9587,5629
c01_202102042105.mp4,c01_20210204230731.mp4,115,11590,5677
c01_202102042105.mp4,c01_20210211220853.mp4,115,6591,3359
c01_202102042105.mp4,c01_20210211230831.mp4,115,5564,5304
c01_202102042105.mp4,c01_20210218211221.mp4,115,7162,6310
c01_202102042105.mp4,c01_20210218220353.mp4,115,26430,13727
